ID,inventorynumber,artist,originaltitle,date,medium,accessionyear,provenance,permalink,permalinkimage,copyright
9639.jpg,Z.1934/0002,Johann Heinrich Füssli (1741–1825),"Mrs. Fuseli mit breitrandigem Hut, in Sofaecke kauernd",1792–1795,"Brush over graphite pencil, grey wash and watercoloured, heightened with opaque white on paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Genf, Lot 195 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. 785 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/9639,https://collection.kunsthaus.ch/multimedia/5/multimedia-671225.extra-large.jpg,
9845.jpg,Z.1938/0679,Johann Heinrich Füssli (1741–1825),"Dirne mit entblösster Brust vor Kaminfeuer, eine Rute in den Händen, links hinter ihr kleine kauernde Fairy",1800–1805,"Brush in brown and graphite pencil, brown washed, on paper; verso: graphite pencil on paper",1938,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/9845,https://collection.kunsthaus.ch/multimedia/1/multimedia-1194221.extra-large.jpg,
10041.jpg,Z.1934/0001,Johann Heinrich Füssli (1741–1825),"Halbfigur einer Kurtisane mit Federbusch, Schleife und Schleier im Haar",1800–1810,"Graphite pencil, pen and brush in grey, black and brown on paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Zürich, Savoy Hotel, Lot 194 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 784 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/10041,https://collection.kunsthaus.ch/multimedia/6/multimedia-474466.extra-large.jpg,
11176.jpg,Z.1913/0006,Johann Heinrich Füssli (1741–1825),"Frau, Kind zerschneidend [?]",c. 1800–1810,"Pencil, pen and sepia on paper",1913,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1913, Unbekannt (Sammler/-in) /// ab 1913, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk einer Gönnerin",https://collection.kunsthaus.ch/de/collection/item/11176,https://collection.kunsthaus.ch/multimedia/1/multimedia-417461.extra-large.jpg,
12397.jpg,Z.A.B.2271,Johann Heinrich Füssli (1741–1825),"Narr an der Angel einer Metze. Aus: «Jugendalbum», Blatt 61, unten links",1757–1759,"Pen in grey and brown, washed and watercoloured, marginal lines in brown, on paper, mounted on paper",,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1826, C. Meyer, Zürich /// ab 1826, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/12397,https://collection.kunsthaus.ch/multimedia//multimedia-1192250.extra-large.jpg,
12491.jpg,Z.1914/0035,Johann Heinrich Füssli (1741–1825),"Mrs. Fuseli mit hoher, gepuderter Lockenfrisur",10/8/1796,"Graphite pencil, tinted with sepia and ink, on paper",1914,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/12491,https://collection.kunsthaus.ch/multimedia//multimedia-1194220.extra-large.jpg,
12664.jpg,Z.1940/0126,Johann Heinrich Füssli (1741–1825),"Füssli, den Schwestern Hess vorlesend",11/22/1778,Pen in brown on brownish paper,1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Nachlass Johann Heinrich Füssli, Nachlass /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/-in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 20.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 244 /// [Verbleib unbekannt?], 20.3.1914 – o.D., Kauf /// wohl, spätestens ab 1926 – 12.3.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 12.3.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/12664,https://collection.kunsthaus.ch/multimedia/1/multimedia-1321351.extra-large.jpg,
12764.jpg,Z.1938/0629,Johann Heinrich Füssli (1741–1825),"Mrs. Fuseli mit Lockenfrisur, lesend",c. 1796,"Graphite pencil, grey pen and brush, watercoloured, heightened with opaque white on paper",1938,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// spätestens ab 25.3.1934 – 7.7.1938, Paul Ganz (*1872 Zürich, +1954 Oberhofen am Thunersee) (Sammler/-in), Ganz Nr. 165 /// ab 7.7.1938, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/12764,https://collection.kunsthaus.ch/multimedia/9/multimedia-323249.extra-large.jpg,
13009.jpg,Z.1914/0027,Johann Heinrich Füssli (1741–1825),Mrs. Fuseli beim Spaziergang,1790–1795,"Graphite pencil, grey, blue and red tinting, on paper",1914,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig /// 20.3.1914, Unbekannt (Sammler/-in), Kauf /// ab 1914, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk von Freunden und Gönnern",https://collection.kunsthaus.ch/de/collection/item/13009,https://collection.kunsthaus.ch/multimedia/1/multimedia-499241.extra-large.jpg,
13072.jpg,Z.1914/0032,Johann Heinrich Füssli (1741–1825),Mrs. Fuseli mit grossen Haarwickeln und rosa Handschuhen vor braunem Vorhang,12/1790,"Graphite pencil and brush in black and grey, grey and brown washed, light red watercoloured, heightened with body colour in white, on paper",1914,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/in) /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig /// 1914, Unbekannt (Sammler/in), Kauf /// ab 1914, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk von Freunden und Gönnern",https://collection.kunsthaus.ch/de/collection/item/13072,https://collection.kunsthaus.ch/multimedia/3/multimedia-1177213.extra-large.jpg,
13269.jpg,Z.1913/0003,Johann Heinrich Füssli (1741–1825),Mädchen am Fenster,c. 1790–1793,"Pen, brush, sepia and body colour on paper",1913,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1913, Unbekannt (Sammler/-in) /// ab 1913, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk einer Gönnerin",https://collection.kunsthaus.ch/de/collection/item/13269,https://collection.kunsthaus.ch/multimedia/7/multimedia-417447.extra-large.jpg,
13732.jpg,Z.1940/0058,Johann Heinrich Füssli (1741–1825),"Sitzende Frau mit abgewandtem, äusserst exzentrisch coiffiertem Kopf, ein Buch in der Linken",5/1822,Graphite pencil and light sepia tint on paper,1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/13732,https://collection.kunsthaus.ch/multimedia/9/multimedia-417469.extra-large.jpg,
14082.jpg,Z.1934/0006,Johann Heinrich Füssli (1741–1825),"Junge Frau mit abgewandtem Kopf am Spinett, ihr Zopf zu einer Schleife gewunden",c. 1815–1820,Graphite pencil on paper,1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St"") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Savoy Hotel, Zürich, Lot 208 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 790 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/14082,https://collection.kunsthaus.ch/multimedia/7/multimedia-417397.extra-large.jpg,
165960.jpg,Z.1913/0002,Johann Heinrich Füssli (1741–1825),Rückenansicht einer Dame in Reifrock mit grosser Schleife,c. 1790–1792,Pen and sepia over graphite pencil on paper,1913,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1913, Unbekannt (Sammler/-in) /// ab 1913, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk einer Gönnerin",https://collection.kunsthaus.ch/de/collection/item/165960,https://collection.kunsthaus.ch/multimedia/1/multimedia-417451.extra-large.jpg,
167938.jpg,Z.1913/0004,Johann Heinrich Füssli (1741–1825),"Dame mit rüschenbesetztem «chapeau à la Triomphe», nach orientalischer Art auf Sofa sitzend",1790–1792,"Pen, brush and sepia on paper",1913,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1913, Unbekannt (Sammler/-in) /// ab 1913, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk einer Gönnerin",https://collection.kunsthaus.ch/de/collection/item/167938,https://collection.kunsthaus.ch/multimedia/1/multimedia-417431.extra-large.jpg,
353018.jpg,Z.1938/0973,Johann Heinrich Füssli (1741–1825),Rückenansicht einer Dame mit eingebundener «geometrisierter» Frisur,2/1795,"Graphite pencil, brush and body colours in brown, grey and blue on paper",1938,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/in) /// Verbleib unbekannt /// spätestens ab 1926 – 7.7.1938, Paul Ganz (*1872 Zürich, +1954 Oberhofen am Thunersee) (Sammler/-in), Ganz Nr. 961 /// ab 7.7.1938, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/353018,https://collection.kunsthaus.ch/multimedia//multimedia-1177210.extra-large.jpg,
678969.jpg,Z.1940/0058.verso,Johann Heinrich Füssli (1741–1825),"Bleistiftskizze einer Ruhenden, den rechten Arm über das aufgestellte rechte Knie gelegt",1822,Graphite pencil and light sepia tint on paper,1940,Vgl. verwandte Objekte,https://collection.kunsthaus.ch/de/collection/item/678969,https://collection.kunsthaus.ch/multimedia//multimedia-805210.extra-large.jpg,
970959.jpg,ZKG.2021/0042,Edvard Munch (1863–1944),Eifersucht I,1896,Lithograph in black on paper,2021,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/970959,https://collection.kunsthaus.ch/multimedia/4/multimedia-1445474.extra-large.jpg,
2117.jpg,1971/0004,Wilhelm Lehmbruck (1881–1919),Emporsteigender Jüngling,1913 (Cast: after 1950),Bronze,1985 (1971),"Wilhelm Lehmbruck (*1881 Duisburg, +1919 Berlin) (Künstler/-in) /// Guido Lehmbruck (*1917 Zürich), Stuttgart, Nachlass /// 1971 – 1985, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe /// ab 1985, Vereinigung Zürcher Kunstfreunde (Sammlung), Zürich, Kauf /// ab 1985, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/2117,https://collection.kunsthaus.ch/multimedia/7/multimedia-535257.extra-large.jpg,
353348.jpg,Z.1938/0689,Johann Heinrich Füssli (1741–1825),Zwei Kurtisanen mit Messer und Stab bei unkenntlicher Verrichtung,c. 1790,Pen and iron gall ink over graphite pencil on paper,1938,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/in) /// Verbleib unbekannt /// o.D. – 7.7.1938, Paul Ganz (*1872 Zürich, +1954 Oberhofen am Thunersee) (Sammler/-in), Ganz Nr. 665 /// ab 7.7.1938, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/353348,https://collection.kunsthaus.ch/multimedia/2/multimedia-1177212.extra-large.jpg,
353147.jpg,Z.1938/0648,Johann Heinrich Füssli (1741–1825),Halbfiguren zweier Kurtisanen bei undeutlicher Verrichtung,7/1817,Brush in black over graphite pencil on paper; verso: pen in brown over graphite pencil on paper,1938,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/in) /// Verbleib unbekannt /// spätestens ab 1926 – 7.7.1938, Paul Ganz (*1872 Zürich, +1954 Oberhofen am Thunersee) (Sammler/in) /// ab 7.7.1938, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/353147,https://collection.kunsthaus.ch/multimedia/6/multimedia-1177216.extra-large.jpg,
36.jpg,GS 164,Otto Charles Bänninger (1897–1973),Büste Alberto Giacometti,1927,Plaster,1988,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/36,https://collection.kunsthaus.ch/multimedia//multimedia-725220.extra-large.jpg,Die Nachlassvertretung konnte nicht gefunden werden. Die Rechteinhaber mögen sich melden.
8607.jpg,Z.1913/0007,Johann Heinrich Füssli (1741–1825),Dame vor Laokoon II,1801–1805,"Pen in brown, partially wiped, over graphite pencil on paper; verso: pen in brown over graphite pencil on paper",1913,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/in) /// Verbleib unbekannt /// o.D. – 1913, Unbekannt (Sammler/-in) /// ab 1913, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk, einer Gönnerin",https://collection.kunsthaus.ch/de/collection/item/8607,https://collection.kunsthaus.ch/multimedia/5/multimedia-644205.extra-large.jpg,
686971.jpg,ZKG.2020/0033,Floris Michael Neusüss (1937–2020),"Neusüss, Portrait. Aus: «Portraitsilhouette»",1994,"Photogram on paper, mounted on synthetic plate",2020,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/686971,https://collection.kunsthaus.ch/multimedia/8/multimedia-931218.extra-large.jpg,© Floris M. Neusüss
549958.jpg,D.2019/0027,Cuno Amiet (1868–1961),Garten und Wohnhaus auf der Oschwand,1954,Oil on hardboard,2019,"Cuno Amiet (*1868 Solothurn, +1961 Oschwand) (Künstler/-in) /// Verbleib unbekannt /// o.D., Familie Bühlmann, Zürich /// ab 2019, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/549958,https://collection.kunsthaus.ch/multimedia/5/multimedia-793215.extra-large.jpg,"© D. Thalmann, Aarau, Switzerland"
7669.jpg,2014/0002,Jutta Koether (*1958),Hommage to the great pseudo abstract Irrationalist. (series: hysterics),2000,Acrylic on canvas,2014,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/7669,https://collection.kunsthaus.ch/multimedia/2/multimedia-1365222.extra-large.jpg,© Jutta Koether
445987.jpg,VZK.2019/0012,Jutta Koether (*1958),Tour de Madame 15,2018,Oil on canvas,2019,"Jutta Koether (*1958 Köln) (Künstler/-in) /// 2019, Galerie Buchholz (Galerie), Berlin /// ab 2019, Vereinigung Zürcher Kunstfreunde (Sammlung), Zürich, Kauf /// ab 2019, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/445987,https://collection.kunsthaus.ch/multimedia/2/multimedia-573252.extra-large.jpg,© Jutta Koether
13136.jpg,Gr.2000/0182,Albrecht Dürer (1471–1528),Das tanzende Bauernpaar,1514,Copper engraving,2000,"Albrecht Dürer (*1471 Nürnberg, +1528 Nürnberg) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1882, Dietrich Schindler (*1795 Mollis, +1882 Wiesbaden) (Sammler/-in) /// 1882 – 13.7.2000, Nachkommen Dietrich Schindler, Nachlass /// 19.10.1945 – 13.7.2000, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe /// ab 13.7.2000, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/13136,https://collection.kunsthaus.ch/multimedia/5/multimedia-376185.extra-large.jpg,
12979.jpg,Gr.2000/0183,Albrecht Dürer (1471–1528),Der Dudelsackpfeifer,1514,Copper engraving,2000,"Albrecht Dürer (*1471 Nürnberg, +1528 Nürnberg) (Künstler/-in) /// Verbleib unbekannt /// Aus der Sammlung P. Mariette (1634-1716), Paris (Lugt 1787-1790) /// o.D. – 1882, Sammlung Landammann Dietrich Schindler (1795-1882) (Sammler/-in) /// 
Erworben November 1861 von Aumüller: aus Montmor. Kunstantiquarium. 



 /// 1882 – 13.7.2000, Nachkommen Dietrich Schindler, Nachlass /// 19.10.1945 – 13.7.2000, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe /// ab 13.7.2000, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/12979,https://collection.kunsthaus.ch/multimedia/6/multimedia-376196.extra-large.jpg,
11693.jpg,Z.A.B.2011,Rudolf Meyer (1605–1638),"Die Ruhe auf der Flucht. aus: Sammelband O 36, fol. 9",1629,"Black pen and brush, grey wash, heightened with white on blue tinted paper, mounted, framing lines with black pen",1840,"Rudolf Meyer (*1605 Zürich, +1638 Zürich) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 1840, Johann Jakob Meyer (Sammler/-in), Zürich, Meyersche Sammlung /// ab 1840, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/11693,https://collection.kunsthaus.ch/multimedia//multimedia-474480.extra-large.jpg,
